time,A,B,C
4/26/2015 20:15,1108.901367,3782.406006,938.3774414
4/26/2015 20:30,1084.692139,3815.786865,963.1843262
4/26/2015 20:45,1068.973389,3850.325684,938.3774414
4/26/2015 21:00,1079.338623,3869.550537,938.3774414
4/26/2015 21:15,1079.338623,3933.961182,979.1715698
4/26/2015 21:30,1077.357544,3933.961182,979.1715698
4/26/2015 21:45,1062.310669,3933.961182,978.6054688
4/26/2015 22:00,1045.30249,3762.540039,978.6054688
4/26/2015 22:15,988.687439,3729.335449,957.388916
4/26/2015 22:30,983.9909668,3659.363525,945.9921265
4/26/2015 22:45,983.9909668,3640.511719,900.0539551
4/26/2015 23:00,984.9494019,3545.208496,870.3286743
4/26/2015 23:15,985.1469727,3535.805908,847.1641846
4/26/2015 23:30,981.1033936,3491.934814,806.4561157
4/26/2015 23:45,981.1033936,3376.24707,787.1113281
4/27/2015 0:00,972.7243652,3286.619141,782.3952026
4/27/2015 0:15,962.62323,3238.885742,775.0056152
4/27/2015 0:30,953.1502075,3115.477539,728.1057739
4/27/2015 0:45,943.6754761,3050.813965,698.9724121
4/27/2015 1:00,952.7207031,2927.385254,671.7282715
4/27/2015 1:15,945.4699097,2868.812256,623.1477661
4/27/2015 1:30,959.8101196,2833.197754,596.4910889
4/27/2015 1:45,960.0809937,2777.999268,532.5821533
4/27/2015 2:00,960.0809937,2773.868164,477.565918
4/27/2015 2:15,940.6608887,2741.937012,458.4906921
4/27/2015 2:30,950.9071655,2711.994141,447.7497253
4/27/2015 2:45,942.1768799,2667.884277,447.7497253
4/27/2015 3:00,946.6616211,2627.898682,415.3988342
4/27/2015 3:15,963.5534668,2604.494141,409.2214355
4/27/2015 3:30,980.6960449,2556.609863,404.302002
4/27/2015 3:45,1009.819153,2476.394775,384.4092407
4/27/2015 4:00,1043.20874,2430.013672,352.1008301
4/27/2015 4:15,1062.321655,2426.16748,352.1008301
4/27/2015 4:30,1080.743042,2461.582764,352.1008301
4/27/2015 4:45,1126.201904,2461.582764,354.5965881
4/27/2015 5:00,1137.360718,2486.956787,387.8674316
4/27/2015 5:15,1232.657349,2519.421387,395.0722351
4/27/2015 5:30,1259.41394,2527.310791,393.3118896
4/27/2015 5:45,1273.866699,2691.373047,393.3118896
4/27/2015 6:00,1312.729004,2742.556641,403.4888916
4/27/2015 6:15,1329.068604,2903.322266,423.1340027
4/27/2015 6:30,1315.88269,3100.469482,565.3228149
4/27/2015 6:45,1290.455811,3251.51123,587.1687012
4/27/2015 7:00,1264.309204,3446.630127,604.7167358
4/27/2015 7:15,1256.709229,3655.978271,660.3686523
4/27/2015 7:30,1252.140137,3935.079102,761.4996338
4/27/2015 7:45,1256.986816,4106.28125,945.2706299
4/27/2015 8:00,1246.423706,4369.038574,1047.754639
4/27/2015 8:15,1245.629761,4416.276367,1099.205078
4/27/2015 8:30,1227.375977,4420.361328,1170.53772
4/27/2015 8:45,1209.210938,4427.385742,1527.638794
4/27/2015 9:00,1197.469849,4412.32666,1481.150024
4/27/2015 9:15,1200.569946,4410.671387,1435.259033
